LABEL / PART DESCRIPTION,MATERIAL,QTY,DIM,LEN,ANGLE,NOTES
P.3402.08800.BT Battens Bearing Wall,PINE KD Rough Sawn Pine,68,0x2,88,90,
P.3402.04200.BT Battens Under Windows,PINE KD Rough Sawn Pine,8,0x2,48,90,
P.3412.01600.BT Battens Above Windows,PINE KD Rough Sawn Pine,8,0x2,12,90,
 P.3402.09300.BT Battens Rear Gable,PINE KD Rough Sawn Pine,2,0x2,93,18.5,Long point to Square
P.3402.09700.BT Battens Rear Gable,PINE KD Rough Sawn Pine,2,0x2,97,18.5,Long point to Square
P.3402.10100.BT Battens Rear Gable,PINE KD Rough Sawn Pine,2,0x2,101,18.5,Long point to Square
P.3402.10900.BT Battens Rear Gable,PINE KD Rough Sawn Pine,2,0x2,109,18.5,Long point to Square
P.3402.11300.BT Battens Rear Gable,PINE KD Rough Sawn Pine,1,0x2,112,18.5,Long point to Center
P.3402.08500.BT Battens Front Wall,PINE KD Rough Sawn Pine,2,0x2,85,18.5,Long point to Square
P.3402.08900.BT Battens Front Wall,PINE KD Rough Sawn Pine,2,0x2,89,18.5,Long point to Square
P.3402.09300.BT Battens Front Wall,PINE KD Rough Sawn Pine,2,0x2,93,18.5,Long point to Square
P.3402.09700.BT Battens Front Wall,PINE KD Rough Sawn Pine,2,0x2,97,18.5,Long point to Square
P.3402.01600.BT Battens Above Door,PINE KD Rough Sawn Pine,2,0x2,16,18.5,Long point to Square
P.3402.01900.BT Battens Above Door,PINE KD Rough Sawn Pine,2,0x2,19,18.5,Long point to Square
P.3402.02000.BT Battens Above Door,PINE KD Rough Sawn Pine,1,0x2,20,90,
P.3402.00600.BT Battens Porch,PINE KD Rough Sawn Pine,4,0x2,6,18.5,LONG to SHORT
P.3402.01000.BT Battens Porch,PINE KD Rough Sawn Pine,2,0x2,10,18.5,Long point to Square
P.3402.01400.BT Battens Porch,PINE KD Rough Sawn Pine,2,0x2,14,18.5,Long point to Square
P.3402.01800.BT Battens Porch,PINE KD Rough Sawn Pine,2,0x2,18,18.5,Long point to Square
P.3402.02100.BT Battens Porch,PINE KD Rough Sawn Pine,1,0x2,22,18.5,CENTER point to Square
P.3402.12000.SI Extra siding,PINE KD Rough Sawn Pine,10,0x2,120,90,
