LABEL / PART DESCRIPTION,MATERIAL,QTY,DIM,LEN,ANGLE,NOTES
P.0112.09300.SI Siding Bearing,PINE KD Rough Sawn Pine,65,1x12,93,90,
P.0112.04300.SI Siding Bearing Below Window,PINE KD Rough Sawn Pine,6,1x12,49,90,
P.0112.02512.SI Siding Bearing Above Window,PINE KD Rough Sawn Pine,6,1x12,20,90,
P.0112.10000.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,100,18.5,Long point to Square
P.0112.10400.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,104,18.5,Long point to Square
P.0112.10800.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,108,18.5,Long point to Square
P.0112.11200.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,112,18.5,Long point to Square
P.0112.11600.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,116,18.5,Long point to Square
P.0112.12000.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,120,18.5,Long point to Square
P.0112.09400.SI Siding Front,PINE KD Rough Sawn Pine,2,1x12,94,18.5,Long point to Square
P.0112.09800.SI Siding Front,PINE KD Rough Sawn Pine,2,1x12,98,18.5,Long point to Square
P.0112.10600.SI Siding Front,PINE KD Rough Sawn Pine,2,1x12,106,18.5,Long point to Square
P.0112.10200.SI Siding Front,PINE KD Rough Sawn Pine,2,1x12,102,18.5,Long point to Square
P.0112.02814.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,28.25,18.5,Long point to SHORT
P.0112.02414.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,24.25,18.5,Long point to Square
P.0112.02014.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,20.25,18.5,Long point to Square
P.0112.01614.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,16.25,18.5,Long point to Square
P.0112.01214.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,12.25,18.5,Long point to Square
P.0112.00814.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,8.25,18.5,Long to short
P.0112.19200.EL Extra lumber,PINE KD Rough Sawn Pine,2,1x12,144,90,
