,,SIDING,,,,
LABEL / PART DESCRIPTION,MATERIAL,QTY,DIM,LEN,ANGLE,NOTES
P.0112.09300.SI Siding Bearing,PINE KD Rough Sawn Pine,65,1x12,93.00,90,
P.0112.04300.SI Siding Bearing Below Window,PINE KD Rough Sawn Pine,6,1x12,49.00,90,
P.0112.02512.SI Siding Bearing Above Window,PINE KD Rough Sawn Pine,6,1x12,20.00,90,
P.0108.04800.SI Siding Bearing-PORCH,PINE KD Rough Sawn Pine,2,1x8,48.00,90,
P.0108.09300.SI Siding Bearing,PINE KD Rough Sawn Pine,2,1x10,93.00,90,
P.0108.09300.SI Siding Bearing,PINE KD Rough Sawn Pine,4,1x8,93.00,90,
P.0112.10000.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,100.00,18.5,Long point to Square
P.0112.10400.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,104.00,18.5,Long point to Square
P.0112.10800.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,108.00,18.5,Long point to Square
P.0112.11200.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,112.00,18.5,Long point to Square
P.0112.11600.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,116.00,18.5,Long point to Square
P.0112.12000.SI Siding Gable Rear,PINE KD Rough Sawn Pine,2,1x12,120.00,18.5,Long point to Square
P.0106.09000.SI Siding Front,PINE KD Rough Sawn Pine,2,1x6,90.00,18.5,Long point to Square
P.0112.09400.SI Siding Front,PINE KD Rough Sawn Pine,2,1x12,94.00,18.5,Long point to Square
P.0112.09800.SI Siding Front,PINE KD Rough Sawn Pine,2,1x12,98.00,18.5,Long point to Square
P.0112.10600.SI Siding Front,PINE KD Rough Sawn Pine,2,1x12,106.00,18.5,Long point to Square
P.0112.10200.SI Siding Front,PINE KD Rough Sawn Pine,2,1x12,102.00,18.5,Long point to Square
P.0110.02700.SI Siding Gable Above Door,PINE KD Rough Sawn Pine,2,1x10,27.00,18.5,Long point to Square
P.0110.03000.SI Siding Gable Above Door,PINE KD Rough Sawn Pine,2,1x10,30.00,18.5,Long point to Square
P.0112.02814.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,28.25,18.5,Long point to SHORT
P.0112.02414.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,24.25,18.5,Long point to Square
P.0112.02014.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,20.25,18.5,Long point to Square
P.0112.01614.SI Porch Siding,PINE KD Rough Sawn Pine,2,1x12,16.25,18.5,Long point to Square
